dv,term,value,.lower,.upper
accuracy,name,-0.23,-0.63,0.2
accuracy,tie,-0.15,-0.55,0.25
accuracy,both,0.2,-0.23,0.66
reaction time,name,-0.15,-0.28,-0.02
reaction time,tie,-0.05,-0.14,0.04
reaction time,both,-0.1,-0.19,-0.02
